1,룸서비스,2024-12-6,15:53,7,미네스트로네 수프,1,9000
2,룸서비스,2024-12-6,20:34,104,비프 스테이크,1,35000
3,룸서비스,2024-12-6,20:34,104,초콜릿 무스,1,8000
4,룸서비스,2024-12-6,20:35,104,크림 파스타,1,16000
5,룸서비스,2024-12-6,20:35,104,프렌치 프라이,1,7000
6,룸서비스,2024-12-6,20:37,104,비프 스테이크,1,35000
7,룸서비스,2024-12-6,20:37,104,치킨 커리,1,14000
8,룸서비스,2024-12-6,20:46,104,크림 파스타,1,16000
9,룸서비스,2024-12-6,20:46,104,치킨 커리,1,14000
10,레스토랑,2024-12-6,20:50,104,치킨 커리,1,14000
11,레스토랑,2024-12-6,20:50,104,초콜릿 무스,1,8000
12,룸서비스,2024-12-6,21:47,5,미네스트로네 수프,1,9000
13,룸서비스,2024-12-6,21:47,2,초콜릿 무스,1,8000
16167b66-ea52-4573-b6d6-980bb3938522,정재윤,2024-12-14,21:47,707,초콜릿 무스,1,20000014,레스토랑,2024-12-6,23:2,207,초콜릿 무스,1,8000
15,레스토랑,2024-12-6,23:2,207,미네스트로네 수프,1,9000
16,룸서비스,2024-12-6,23:5,101,초콜릿 무스,1,8000
