1,101,100000,Standard
1,102,80000,Standard
1,103,80000,Standard
1,104,80000,Standard
1,105,80000,Standard
1,106,100000,Deluxe
1,107,100000,Deluxe
1,108,100000,Deluxe
1,109,100000,Deluxe
1,110,100000,Deluxe
2,201,80000,Standard
2,202,80000,Standard
2,203,80000,Standard
2,204,80000,Standard
2,205,80000,Standard
2,206,100000,Deluxe
2,207,100000,Deluxe
2,208,100000,Deluxe
2,209,100000,Deluxe
2,210,100000,Deluxe
3,301,80000,Standard
3,302,80000,Standard
3,303,80000,Standard
3,304,80000,Standard
3,305,80000,Standard
3,306,100000,Deluxe
3,307,100000,Deluxe
3,308,100000,Deluxe
3,309,100000,Deluxe
3,310,100000,Deluxe
4,401,100000,Standard
4,402,100000,Standard
4,403,100000,Standard
4,404,100000,Standard
4,405,100000,Standard
4,406,130000,Deluxe
4,407,130000,Deluxe
4,408,130000,Deluxe
4,409,130000,Deluxe
4,410,130000,Deluxe
5,501,100000,Standard
5,502,100000,Standard
5,503,100000,Standard
5,504,100000,Standard
5,505,100000,Deluxe
5,506,130000,Deluxe
5,507,130000,Deluxe
5,508,130000,Deluxe
5,509,130000,Suite
5,510,130000,Suite
6,601,100000,Standard
6,602,100000,Standard
6,603,100000,Standard
6,604,100000,Standard
6,605,130000,Deluxe
6,606,130000,Deluxe
6,607,130000,Deluxe
6,608,130000,Deluxe
6,609,200000,Suite
6,610,200000,Suite
7,701,100000,Standard
7,702,100000,Standard
7,703,100000,Standard
7,704,100000,Standard
7,705,130000,Deluxe
7,706,130000,Deluxe
7,707,130000,Deluxe
7,708,130000,Deluxe
7,709,200000,Suite
7,710,200000,Suite
8,801,100000,Standard
8,802,100000,Standard
8,803,100000,Standard
8,804,100000,Standard
8,805,100000,Deluxe
8,806,130000,Deluxe
8,807,130000,Deluxe
8,808,130000,Deluxe
8,809,200000,Suite
8,810,200000,Suite
9,901,180000,Deluxe
9,902,180000,Deluxe
9,903,180000,Deluxe
9,904,180000,Deluxe
9,905,180000,Deluxe
9,906,230000,Suite
9,907,230000,Suite
9,908,230000,Suite
9,909,230000,Suite
9,910,230000,Suite
10,1001,200000,Deluxe
10,1002,200000,Deluxe
10,1003,200000,Deluxe
10,1004,200000,Deluxe
10,1005,200000,Deluxe
10,1006,250000,Suite
10,1007,250000,Suite
10,1008,250000,Suite
10,1009,250000,Suite
10,1010,250000,Suite
